,Job Description,Job Title
1485,job description want join one fastest growing digital agencies punjab infino looking experienced wordpress developer great skills ability solve unique complex technical web problems live breathe fundamentals web design want command impressive portfolio rayana web best place collaborated international clients around globe successfully completed major projects proven industry experience infino offers platform enhance development skills impart knowledge guidance industry experts clients listed fortune companies roi millions day candidate wants unplug surroundings wants live professionally driven environment emphasis put developing coding analytics collaborative work ethic cutting edge coding skills working infino life rayana web happening company focuses personality development arranging various kinds fun educational activities time time special activities movies trips dinner etc organized create friendly environment better coordination among employees moreover various perks given based performance efforts individual _infino looking highly talented motivated individuals minimum years experience join wordpress team job description experience required yrs vacancies salary best industry timing days working roles responsibilities understanding client requirements functional specifications designing developing maintaining optimizing secure scalable multi tier web applications testing website identifying technical problems hitches uploading web site onto server registering different search engines determining functionality site must support developing php content based practical approved layout identifying content type site host ensuring compatibility php programming requirements skills required bachelors degree years experience strong knowledge php web frameworks experience working wordpress drupal joomla experience laravel angularjs jquery ajax bootstrap understanding fully synchronous behaviour php understanding mvc design patterns knowledge html css jquery javascript mysql knowledge object oriented php programming familiarity sql mysql databases declarative query language ability work deadlines team member job type full time salary per month schedule morning shift experience total work years preferred education bachelor preferred work remotely,Wordpress Developer
569,requirement previous working experience laravel developer years depth knowledge object oriented php laravel php framework experience unit testing frameworks like phpunit good knowledge mysql database designing query optimisation techniques hands experience restful api design development including implementation oauth authentication authorization working knowledge version controlling systems like git clear understanding gitflow workflow repository management tools like bitbucket experience lumen micro framework added advantage strong problem solving analytical skills,PHP Developer
711,qualification degree experience years work location coimbatore skills expert dart strong knowledge native cross platform mobile development framework swift ios java android react native able integrate multiple data sources databases one system must built least two android ios apps flutter published app store experience third party libraries apis working knowledge general mobile landscape architectures trends emerging technologies solid understanding full mobile development life cycle building experience working agile development process must come native cross platform development background using technologies swift ios java android react native understanding accessibility security compliance strong unit test debugging skills worked successfully deployed apps using flutter framework experience third party libraries apis experience api integration strong knowledge flutter deal different screen sizes addon knowledge android sdk different versions android familiarity restful api connect mobile applications back end services strong knowledge design principles patterns best practices understanding google android design principles interface guidelines proficient understanding code versioning tools git working experience mobile development job responsibilities writing reusable testable efficient code design implementation low latency high availability perform ant applications developing user interface application based assets provided design team developing business logic based application requirements integrating api based endpoints provided back end development team implementation security data protection integration data storage solutions,Flutter Developer
822,job description expert level experience coding php backend frontend development heavily experienced coding javascript sql understanding javascript frameworks like jquery bootstrap datatables ability work evolving agile development environment able learn new coding platforms drive code completion delivering time cloud native saas development aws experience skills strong verbal written communication skills able manage time effectively constantly striving better others around able problem solve quickly accurately strong software design development knowledge able properly design produce structured apis ability create optimize evolve applications produce code scalable background qualifications degree computer science equivalent years experience developing php javascript sql years,PHP Developer
28,full job description coordinating development teams determine application requirements writing scale able code using python programming language testing debugging applications developing back end components integrating user facing elements using server side logic assessing prioritizing client feature requests integrating data storage solutions coordinating front end developers reprogramming existing databases improve functionality developing digital tools monitor online traffic share resume team app number,Django Developer
740,job description looking node developer responsible managing interchange data server users primary focus development server side logic definition maintenance central database ensuring high performance responsiveness requests front end also responsible integrating front end elements built workers application therefore basic understanding front end technologies necessary well responsibilities integration user facing elements developed front end developers server side logic writing reusable testable efficient code design implementation low latency high availability performant applications implementation security data protection integration data storage solutions may include databases key value stores blob stores etc add responsibilities relevant skills qualifications strong proficiency javascript coffeescript depending technology stack knowledge node frameworks available express strongloop etc depending technology stack understanding nature asynchronous programming quirks workarounds good understanding server side templating languages jade ejs etc depending technology stack good understanding server side css preprocessors stylus less etc depending technology stack basic understanding front end technologies html css understanding accessibility security compliance depending specific project user authentication authorization multiple systems servers environments integration multiple data sources databases one system understanding fundamental design principles behind scalable application understanding differences multiple delivery platforms mobile desktop optimizing output match specific platform creating database schemas represent support business processes implementing automated testing platforms unit tests proficient understanding code versioning tools git make sure mention frameworks libraries technology related development stack contract length months job types full time contract salary per month experience software development year preferred work year preferred total work year preferred education bachelor preferred work remotely,Node js developer
267,looking qualified developers responsible either develop new website maintain old website built nodejs knowledge node frameworks express sails socket strong loop meteor koa hapi must roles responsibilities tasks activities requirement gathering business stakeholders discussion client business team understand requirements ask relevant questions clarify business requirements needed document business rules estimations task planning divide project modules tasks based business requirement srs estimate time modules tasks based different estimation techniques prepare project plan wbs module tasks specific start end date seek approval stakeholders wbs prepare project plan accordingly well versed project management tool database creation updating custom modules identify modules tasks prepare database designs using mysql workbench discuss team members seek approval stakeholders coding debugging unit testing documentation code application per best standard practices guidelines code module within timeline mentioned wbs debug unit test code module ability write testable codes handle various testing tools example jest jasmine mocha test runner like karma chutzpah use appropriate versioning tools like git svn etc document code application later shared client prepare user manuals custom module code needs shared client used training purposes well optimize website checking benchmarking tools like www gtmetrix com google page speed experience angular react plus understanding nature asynchronous programming including quirks workarounds perform user authentication user authorization multiple systems servers environments understanding differences multiple delivery platforms mobile desktop optimizing output match specific platform project deployment maintenance check deployment checklist putting anything production update security patches whenever available mandatory skills knowledge minimum years development experience nodejs expressjs mongodb good understanding experience html css javascript hands experience features thorough understanding request lifecycle including event queue event loop worker threads etc familiarity security principles including ssl protocols data encryption xss csrf expertise web services rest apis beneficial proficiency linux deployment linux valuable knowledge orm like sequelize odm like mongoose ability handle transactions necessity experience angular react added advantage expertise rdbms like mysql postgresql plus knowledge aws services like helpful understanding agile value technologies frameworks tools proficiency languages frameworks node express jquery javascript css ajax database mongodb mysql tools git opportunity grow scale high work fun transparent atmosphere alongside collaborative team guidance support senior staff growth competitive salary benefits,Node js developer
580,current motorola solutions employee please click link apply workday account company overview motorola solutions create technologies customers refer lifeline technology platforms communications software video services help customers work safely efficiently whether helping firefighters see smoke enabling police officers see around street corners reliably keeping lights homes businesses around world work supports put lives line keep safe bring passion potential talents motorola solutions help usher new era public safety security department overview java web application development team developing web application using java jdbc jee microservices spring rest services job description technical hands expertise core java webtechnologies hands expertise working spring framework rest soap web services web applications jms rabbit message queue json jquery hands experties test tools selenium jmeter soapui testng knowledge java profilers like jprofiler jmap visual add advantage basic requirements softskills good communication skill positive attitude problem solver nature ready take new challenges travel requirements relocation provided none position type experienced referral payment plan,Software Engineer
254,self learner team player proactive commit mission build solutions believe meritocracy responsibilities duties writing functional reusable efficient quality code writing tdd debugging unit testing design implementation low latency high availability modules applications integration user facing elements server side logic implementation security data protection policies integration data storage solutions may include databases key value stores etc coordinating meeting independently customer requirements gathering analysis contributing company architecting programming practices key skills python rdbms nosql oops django flask fastapi required experience qualifications minimum years experience programming using python stack expertise programming using python expertise experience using flask django fastapi minimum projects knowledge asynchronous programming python familiarity orm object relational mapper libraries ability integrate multiple data sources one system able integrate multiple data sources databases one system experience programming restful apis understanding multi process architecture usage using python including limitations python multi process architecture understanding design principles scalable applications understanding experience using server side templating languages jinja mako etc understanding experience using front end technologies like javascript html css proficient understanding code versioning tools git familiarity continuous integration application debugging good written spoken english good cloud architecture fundamental design principles behind scalable application network fundamentals understanding nosql databases like mongodb experience deploying web applications please send following information applying mandatory willingness work office pune thane india office india abroad github account handle contributed open source projects uploaded personal work current ctc expected ctc notice joining period willingness complete open book test assignment remote create simple web app using flask django fastapi explain demonstrate working technical panelist team willingness complete hackerrank algorithms evaluation easy medium complexity seen https www hackerrank com domains algorithms willingness final technical discussion interview client based north america shortlisted india technical discussions detailed resume includes project information duration project team size role responsibilities contribution projects willingness self learn new technologies machine learning others required time time design implement solutions willingness commit minimum months intelliconnect confirm physically mentally fit profession software engineering willingness take complete ownership work allocated share verifiable examples instances took ownership work willingness self register nasscom national skill registry site https nationalskillsregistry com faq understanding nsr htm team player willing work team player complete hackerrank algorithms evaluation easy medium complexity seen https www hackerrank com domains algorithms self register nasscom national skill registry site https nationalskillsregistry com faq understanding nsr htm willingness final technical discussion interview client based north america shortlisted india technical discussions work remotely temporarily due covid,Software Engineer
797,introduction ibm work job calling build design code consult think along clients sell make markets invent collaborate something better attempt things never thought possible ready lead new era technology solve world challenging problems lets talk role responsibilities network administrator responsible maintain reliable secure efficient data communications network configure maintain monitor active network equipment order ensure smooth network operation self motivated willing learn new technologies vendors ibm client environments solving problem network skills required team player proven communication skills willing work teammates aid support internal external clients responsibilities responsible recovering provisioning failures first point contact provisioning related issues configuration implementation troubleshooting field cisco telephony network infrastructure demonstrate expertise switching domain vlan voice vlan vtp stp poe ether channel hsrp routing protocols etc review provisioning request incident plan activities minimal impact customer environment manage cisco unified communication products cisco unified communications manager cucm required technical professional expertise minimum years experience domain proficient cisco unity connection cisco unified presence solid understanding cisco unified communication express cisco unity express gateways cisco analog gateways gateway mgcp gateway sip gateway cube validated knowledge trunks sip trunks cas ccs fxs fxo etc hands experience cisco unified contact center express prime license manager ucs solid understanding gateway protocols sip mgcp sccp validated knowledge endpoints like cisco phones cisco communicator jabber sip soft phones preferred technical professional expertise able work collaborative environments use agile methodologies encourage creative design thinking find innovative ways develop cutting edge technologies ambitious individual work direction towards agreed targets goals creative approach work intuitive individual ability manage change proven time management proven interpersonal skills contributing team effort accomplishing related results needed date technical knowledge attending educational workshops reviewing publications business unit global technology services gts help clients envision future offering end end technology support services supported unmatched global delivery network unique blend bold new ideas client first thinking restlessly reinvent solve problems new ways work technology business projects ask else possible gts place life ibm matters looking next career challenge maybe want get involved work really changes world somewhere incredible diverse career development opportunities truly discover passion looking culture openness collaboration trust everyone voice ibm could next career challenge join something better attempt things never thought possible impact inclusion infinite experiences best work ever ibm ibm greatest invention ibmer believe progress made progressive thinking progressive leadership progressive policy progressive action ibmers believe application intelligence reason science improve business society human condition restlessly reinventing since largest technology consulting employer world ibmers serving clients countries location statement additional information location requirements please discuss recruiter following submission application ibm ibm committed creating diverse environment proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status ibm also committed compliance fair employment practices regarding citizenship immigration status,Network Administrator
1821,experience fresher years location ahmedabad job overview wordpress developer responsible various delivery maintenance tasks across portfolio wordpress websites job description developing wordpress woocommerce plugins customization developing maintaining complex wordpress based applications supporting client queries fast paced environment using bug tracking project tracking git developing front end using reactjs variety miscellaneous development tasks involved web development life cycle start finish heavy lifting data migration skills experience knowledge wordpresss cms strong knowledge theme plug ins widgets customization matches wordpress standard good understanding front end technologies including html css javascript jquery fundamental knowledge corephp mysql knowledge oops mvc mandatory database optimization advance knowledge woocommerce customization good understanding cross platform cross browser issues good knowledge understanding web services crm cms shopping cart payment gateway api integration etc wordpress plugin development experience hooks filters actions,Wordpress Developer
491,looking resent graduate ready start exciting career legal position assist associate general counsel general counsel chief legal officer carrying corporate administrative function connection cim business activity essential function administrative responsibility set maintain legal file record according established criterion including providing record requested outside counsel cim personnel upload document sharepoint directed associate general counsel general counsel assist tax related form distribution investor assist annual rcp audit various audit requested investor assist various corporate project requested legal dept including limited photocopying arranging binder sending certified registered mail overnight delivery intra company mail corporate secretarial responsibility form maintain corporate entity obtain eins prepare organizational chart prepare organizational document maintain database pertinent information related cim corporate entity maintain cim signature block additional insured list complete required annual entity maintenance including statement information corporate minute obtain good standing certificate necessary prepare written consent necessary assist corporate project requested associate general counsel general counsel reit fund assistance assist preparation circulation reit demand letter prepare quarterly reit dividend consent cim doe accept unsolicited resume agency unsolicited resume received agency considered property cim fee due paid,Database Administrator
1830,req smart people smart idea smart choice offer rewarding career path willing work hard think hard commit solving complex critical challenge customer around world many fortune company name likely familiar access latest tool technology develop industry leading software application fast paced agile environment advanced custom built test automation system needed continually verify software working expected role analyze complex software system design innovative test suite automatically exercise validate working code discover dynamic culture continuous improvement extends people one offer numerous way expand knowledge advance career currently looking software developer role part team developing software automotive mechanical simulation rpc pro software allows customer bring automotive test track laboratory enabling simulate real world durability event component full scale vehicle vehicle drive every day significantly better vehicle past system rpc pro business thriving future exciting potential unlimited http www youtube com channel ucbzquhavnzmsiwwavvgna responsibility daily team interaction required via scrum meeting strong initiative team communication skill use scrum methodology strongly believe teamwork fundamental requirement successful project execution develop high quality maintainable code using engineering best practice unit testing code review continuous integration ability work dynamic high paced environment drive result self organizing help meet team sprint goal experience participating online code review key accountability developer team maintain consistently healthy code base requirement degree computer science software engineering related field year software development experience microsoft desktop application stack development environment experience wpf model view viewmodel mvvm net framework preferred experience visual studio team foundation server experience agile software development process preferred background engineering domain experience complex mechanical system system corporation equal opportunity affirmative action employer qualified applicant receive consideration employment without regard race color ethnicity religion creed gender gender identification sexual orientation national origin physical mental disability age marital status veteran status,Full Stack Developer
2342,nimetler technologies private limited looking java technology candidates work home project desired candidate minimum year experience completed least projects one technologies available part time assignments prompt communication experienced candidate apply fresher allowed job type part time experience java year required education bachelor required licence java programmer required industry software development work remotely yes,Java Developer
1445,candidate strong experience core java along multithreading concepts candidate extensive experience working spring spring boot framework experience data structure algorithms mandatory experience microservices cloud would preferred job type full time salary per year schedule morning shift experience programming year preferred work year preferred total work year preferred education bachelor preferred,Backend Developer
1051,purpose manage microsoft sql mysql oracle server related system develop maintain database driven solution used system administration administer department process automated system administration task essential function install administer microsoft sql oracle mysql database used system administration team assist administration troubleshooting solution rely database assist development house database administer scheduled task server used system administration team develop coordinate new automated task needed develop maintain related sql server integration service package required develop maintain web application used technical staff manage resource data stored microsoft sql oracle mysql database assist development web application used system administration team direct management resource computer system active directory object assist installation configuration daily administration troubleshooting database related service assist periodic deployment database dependent application department application developer team assist general administration server maintained system management team marginal incidental function related function assigned required qualification least one year experience administering window server experience maintaining sql database experience writing application script computer system management good interpersonal communication interaction equivalent combination relevant education experience may substituted appropriate preferred qualification least three year experience administering environment multiple window server experience administering microsoft sql cluster experience automating system administration task using powershell experience developing application script active directory management experience working asp net application ability work independently little supervision ability coordinate work member team ability perform task attention detail discretion sensitive information working condition may work around standard office condition may work around electrical mechanical hazard repetitive use keyboard workstation use manual dexterity lifting moving lifting moving occasional box cable server computer similar equipment weighing criminal history background check required finalist consideration position retirement plan position teacher retirement system texas trs subject position least hour per week least day length university texas austin equal opportunity affirmative action employer complies applicable federal state law regarding nondiscrimination affirmative action university committed policy equal opportunity person doe discriminate basis race color national origin age marital status sex sexual orientation gender identity gender expression disability religion veteran status employment educational program activity admission hired required complete federal employment eligibility verification form required present acceptable original document prove identity authorization work united state information document submitted federal verify system verification document must presented later third day employment failure result dismissal austin tobacco free campus,Database Administrator
531,resident administrator responsible administrative duty support need high profile apartment community position requires excellent verbal written organizational analytical computer skill person must able work collaboratively staff deal public responsibility include initiating scheduling completing resident applicant certification process maintaining computer database preparing weekly monthly report calendaring event meeting basic administrative work copying filing correspondence mail phone maintaining filing system organizing publicizing event assisting project needed qualification excellent verbal written communication skill strong computer skill including word outlook excel yardi plus superior organizational skill attention detail follow good research skill able work independently prioritize meet multiple deadline work team member able transport pound preferred bilingual driver license sense humor interest real estate property management non profit work _pursuant san francisco fair chance ordinance consider employment qualified applicant arrest conviction records _bridge housing equal opportunity employer,Database Administrator
1803,job summary frontend developer opportunity conceptualize implement responsive user friendly designs widely used applications interfaces industry eye good design strong responsive web development capabilities looking perfect candidate pick standard web interface make sure responsive across mobiles tablets desktops css skills responsibilities duties building responsive user friendly interfaces web applications ensuring applications fully responsive across devices layouts orientations etc conceptualizing designs themes developing deep knowledge thorough understanding html css javascript complete ownership lifecycle best user experience coordinating larger development team integrate backend services required technologies front end technologies html css web frameworks bootstrap materialize etc javascript jquery experience css pre processors less sass etc thorough responsive web development capabilities comfortable source control version management tools optional preferred technologies mockup capabilities designs experience angular graphic design abilities photoshop illustrator corel etc salary year job location powai mumbai temporarily working remotely due covid job type full time salary per year schedule day shift experience graphic designing year preferred responsive web development years required bootstrap materialize framework years required application question current last drawn annual ctc work remotely temporarily due covid,Backend Developer
134,responsibilities perform automate system administration services including installation configuration maintenance disaster recovery hundreds thousands instances regions control instance life cycle aws resources respond production incidents troubleshoot resolve document analyze troubleshoot resolve system software network storage failures globally distributed cloud infrastructure configure test deploy upgrade software production servers aws author recommend settings applications operating systems networks cloud services improve performance security reliability design develop monitoring uptime solutions critical systems including house web hosting offering understand maintain good overall knowledge site cloud deployed networks including wifi hosted exchange server jira voip various saas applications provide backup support team support engineers required aspects technology strong interpersonal communication skills ability work well diverse team focused environment engineers product managers etc create required documentation infrastructure systems learn new tools terraform nodejs assist new project initiatives configure build release pipelines cloud premise solutions using jenkins monitor support deployment cloud prem applications via automation tools practices maintain design necessary workflows needed smooth operations familiarity plug ins installation configuration within jenkins support new feature requests maintain develop sso various applications using azure aws sync capabilities maintain party relationship saas applications demonstrate ownership troubleshoot resolve minor network level issues provide hour support testing required perform necessary upgrades servers required within guidance provided senior staff discuss ideas future development strengthen processes play critical role furthering vision technology department experience years experience maintaining supporting networks depth knowledge experience azure aws comfortable mixed microsoft linux environment experience active directory administration basic knowledge tools jenkins octopus deploy etc excellent troubleshooting communication customer service skills team player multi tasker great attitude strong interpersonal skills must available support production environment shell powershell scripting experience plus basic knowledge load balancers auto scaling groups plus,DevOps Engineer
279,looking make career change stable company exciting opportunity offers competitive salary plus excellent benefits package including medical insurance dental insurance vision insurance paid pto position match future career goals opportunity could right fit hybris developer location chicago responsibilities subject matter expert hybris jsp java developers responsible software design development implementation hybris applications integration various modules sap responsible develop digital consumer experiences based foundation hybris responsible setup maintain hybris development environments responsible setup maintain hybris datahub responsible develop deploy custom cms components independently interface business owners needed design implementation responsible mentor junior team members ensure software developed adheres best practices quality standards code design reviews qualifications least years experience using hybris least two projects must legally authorized work without sponsorship least years full life cycle ecommerce implementations involving java sdlc methodologies master degree computer science preferred mastery jee spring framework eclipse ant good understanding object oriented programming relational databases proficient hybris commerce suite experience sap hybris integration using datahub webservices experience search engines like solr experience developing new extensions hybris support different commerce functionalities experience creating uis using html css javascript jquery proficient hybris task management personalization security concepts business scenarios benefits medical insurance dental insurance vision insurance job ask aarti manchanda _ajulia executive search new jersey based executive search firm specializing retained searches multiple sectors including manufacturing finance legal pharmaceutical nationwide client base offer services temporary direct hire placements _questions_ have_ degree accredited university_ years experience using hybris least two projects years full life cycle ecommerce implementations involving java sdlc_ proficient p_roficient hybris commerce suite_ salary expectation _legally authorized work without sponsorship_ job type full time pay per year schedule hour shift experience software development year preferred education master preferred work authorization united states preferred benefits health insurance,Java Developer
1936,wordpress developer years exp joining period immediate location ahmedabad positions roles responsibility wordpress developer responsible creating wordpress based website themes plugins customization build reusable code libraries future use understanding entire web development process including design development deployment preferred optimize application maximum speed scalability collaborate team members stakeholders ability work fast paced environment self motivated detail oriented ability work independently must understand requirement work dedication able implement new features functionality establishing guiding website architecture ensuring high performance availability managing technical aspects cms capable converting responsive design working theme plugin skills required primary good understanding front end technologies including html css javascript jquery experience developing responsive design websites comfortable working debugging tools like firebug chrome inspector etc ability understand css changes ramifications ensure consistent style across platforms browsers ability convert comprehensive layout wireframes working html pages proficient understanding code versioning tools git proficient understanding cross browser compatibility issues ways work around strong understanding php back end development knowledge page builders must skills required secondary experience delivery within agile scrum plus git knowledge plus good debugging skill good organizational problem solving skills knowledge interact restful apis formats json optimization website plus good english communication skill verbal written compensation per industry standard share mobiosolutions com,Wordpress Developer
255,excellent working knowledge objective oriented language kotlin java objective swift etc experience using restful apis integrate mobile applications server side systems experience building moderately complex android app knowledge dart deep experience contributing managing high scale production mobile apps experience json xml git version control system must previous experience flutter development experience years qualification,Flutter Developer
1487,analytics data scientist quantumblack gurugram apply qualifications masters phd level computer science machine learning applied statistics mathematics experience statistical modelling machine learning techniques programming experience least two following languages python scala sql experience applying data science methods business problems experience applying advanced analytical statistical methods commercial world good presentation communication skills ability explain complex analytical concepts people fields work join gurgaon office part quantumblack work data scientists data engineers machine learning engineers designers project managers interdisciplinary projects using maths stats machine learning derive structure knowledge raw data across various industry sectors highly collaborative individual capable laying aside agenda listening learning colleagues challenging thoughtfully prioritising impact search ways improve things work collaboratively colleagues believe iterative change experimenting new approaches learning improving move forward quickly data scientist quantumblack work multi disciplinary environments harnessing data provide real world impact organisations globally influence many recommendations clients need positively change businesses enhance performance role responsibilities work complex extremely varied data sets world largest organisations solve real world problems develop data science products solutions clients well data science team write highly optimized code advance internal data science toolbox work multi disciplinary environment specialists machine learning engineering design add real world impact academic expertise encouraged write black papers present meetings conferences wish attend conferences nips icml one global team data science retrospectives opportunity share learn colleagues work within one largest advanced data science teams london support lead data scientists develop data science products learn successful projections real world problems across variety industries completed referencing past deliveries end end machine learning pipelines build products alongside core engineering team evolve engineering process scale data handling complex problems advanced client situations able focus modelling working alongside data engineering team focuses wrangling clean transformation data best practices software development productionise machine learning working machine learning engineering teams optimise code model development scale work visual design teams interpret complex models stunning user focused visualisations using new technologies problem solving skills multicultural creative environment work frameworks libraries teams data scientists data engineers use progress data impact guide global companies data science solutions transform businesses enhance performance across industries including healthcare automotive energy elite sport real world impact project ever work across multiple sectors providing unique learning development opportunities internationally fusing tech leadership work latest technologies methodologies offer first class learning programmes levels multidisciplinary teamwork teams include data scientists engineers project managers visual designers work collaboratively enhance performance innovative work culture creativity insight passion come balanced cultivate modern work environment emphasis wellness insightful talks training sessions striving diversity colleagues nationalities recognise benefits working people walks life projects range helping pharmaceutical companies bring lifesaving drugs market quicker optimising formula car performance quantumblack best worlds benefits part one leading management consultancies globally autonomy thrive fast growth tech culture healthcare efficiency helped healthcare provider improve clinical trial practices identifying congestion diagnostic testing key indicator admissions breaches environmental impact designed built first data driven application state art centre excellence urban innovation collecting real time data environmental sensors across london deploying proprietary analytics find unexpected patterns air pollution product development worked ceo elite automotive organisation reduce month car development timeframe improving processes designs team structures visit careers site watch video read interview processes benefits equal opportunity employer quantumblack encourages applications backgrounds regardless gender race disability pregnancy marital status age sexual orientation gender reassignment religion belief maintain sense community rooted respect consideration employees evaluation based simply upon individual work team performance industries high tech functions technology apply applicants mckinsey company equal opportunity affirmative action employer qualified applicants receive consideration employment without regard sex gender identity sexual orientation race color religion national origin disability protected veteran status age characteristic protected applicable law non applicants mckinsey company equal opportunity employer additional details regarding global eeo policy diversity initiatives please visit mckinsey careers diversity inclusion sites,Machine Learning
1270,looking data scientist help discover information hidden vast amounts data help make smarter decisions deliver even better products primary focus applying data mining techniques statistical analysis building high quality prediction systems integrated products responsibilities selecting features building optimizing classifiers using machine learning techniques data mining using state art methods extending company data third party sources information needed enhancing data collection procedures include information relevant building analytic systems processing cleansing verifying integrity data used analysis hoc analysis presenting results clear manner creating automated anomaly detection systems constant tracking performance requirements excellent understanding machine learning techniques algorithms naive bayes svm decision forests etc experience common data science toolkits weka numpy matlab etc depending specific project requirements excellence least one highly desirable great communication skills experience data visualisation tools ggplot etc proficiency using query languages sql hive pig experience nosql databases mongodb cassandra hbase good applied statistics skills distributions statistical testing regression etc good scripting programming skills expect person role integrate solution within base application list programming languages core frameworks currently used data oriented personality,Machine Learning
1124,wordpress developer _relocation gandhinagar gujarat_ devlegends looking opensource wordpress developers work office must excellent knowledge wordpress plugin development custom development strong wordpress experience exposure large scale word press applications complete knowledge wordpress architect optimizing performance security website strong mysql mvc architecture ability convert complex requirement wordpress cms ability create customize plugin complex requirements worked woo commerce plugin greatly customized woo commerce must experience theme development integration customization must knowledge oops concepts agile quick problem solver candidate must knowledge template conversion html php must require knowledge woo commerce development strong knowledge cms development comfortable working debugging tools like firebug chrome inspector etc skills wordpress developer php developer web developer qualifications bachelor master degree computer science years relevant experience strong communication conceptual thinking design skills job type full time salary per month schedule monday friday work remotely,Wordpress Developer
